Day;.TRXFLDGLPU;.BVSP;.IBX50;.IBRX;.SMLL;.MXX;.INMX;.MERV;.IBG;.ADRIAN;.IPSA;.SPX;.NDX;.DJI;.SSMI;.FCHI;.CACT;.GDAXI;.MDAXI;.FTAS;.FTSE;.ADI;.QSI;.BSESN;.NSEI;.BSE100;.CSI300;.SSEC;.HSI;.HSCE;.N225;.N500
Day;TR GLOBAL;BVSP BOVESPA IND;IBX50 INDEX;IBRX BRASIL IND;SMALL CAP;MXSE IPC GRAL IN;MXSE MEXICO INDX;BUSE MERVAL INDX;BUSE GRAL INDEX ;BEC ADRIAN      ;SASE Select Inx ;S&P 500 INDEX;NASDAQ 100;DJ INDU AVERAGE;SMI PR          ;CAC 40 INDEX;CAC All-Tradable;XETRA DAX PF    ;MDAX INDEX PF   ;FTSE-A ALL SHARE;FTSE 100 INDEX  ;ADX MAIN INDEX;QE MAIN 20 IDX  ;S&P SENSEX      ;NIFTY 50;S&P BSE-100     ;CSI300 INDEX;SSE COMPOSITE;HANG SENG INDEX;HANG SENG C E I;NIKKEI 225 INDEX;NIKKEI 500 INDEX
31/05/2017;188.79;63489.34764;10610.90193;26358.13766;1332.208325;49121.14;2934.11;;;4060.25;4885.61;2409.21;5788.566;20991.02;9052.04;5322.65;4171.55;12674.07;25221.77;4131.93;7555.62;4427.3;9901.38;31145.8;9621.25;9928.65;3493.0667;3117.1778;25660.65;10602.97;19650.57;1880.47
30/05/2017;188.83;63962.26376;10690.4578;26545.88537;1337.961652;49277.95;2942.06;22310.578;959996.188;4067.34;4901.14;2412.91;5794.632;21029.47;9007.54;5305.94;4159.35;12598.68;25229.32;4119.58;7526.51;4501.76;10063.64;31159.4;9624.55;9917.18;;;;;19677.85;1881.96
29/05/2017;188.99;63760.94187;10657.23102;26466.45897;1338.017003;49450.48;2948.1;22347.43;963797.563;4067.82;4890.49;;;;9031.96;5332.47;4175.54;12628.95;25282.301;;;4492.92;10112.39;31109.28;9604.9;9891.13;;;25701.63;10619.34;19682.57;1877.88
28/05/2017;;;;;;;;;;;;;;;;;;;;;;4496.38;10123.23;;;;;;;;;
26/05/2017;189.09;64085.41402;10711.84477;26594.6981;1340.065034;49688.27;2965.58;22141.709;953281.563;4035.84;4886.44;2415.82;5788.359;21080.28;9042.03;5336.64;4178.91;12602.18;25208.33;4130.15;7547.63;;;31028.21;9595.1;9903.68;3480.4857;3110.0587;25639.27;10579.67;19686.84;1872.35
25/05/2017;189.18;63226.78821;10569.21705;26229.89625;1320.101319;49410.92;2945.3;;;4007.87;4872.36;2415.07;5778.374;21082.95;;5337.16;4177.06;12621.72;25112.051;4114.68;7517.71;4516.84;10060.52;30750.03;9509.75;9791.97;3485.7668;3107.8311;25630.78;10571.6;19813.13;1879.8
24/05/2017;188.67;63257.35795;10572.27784;26244.09816;1322.086434;49494.4;2950.77;21684.59;934439.938;3985.98;4871.34;2404.39;5730.301;21012.42;9035.09;5341.34;4178.9;12642.87;25080.76;4112.93;7514.9;4532.24;10087.35;30301.64;9360.55;9647.47;3423.7629;3064.0759;25428.5;10390.87;19742.98;1873.84
23/05/2017;188.1;62662.48204;10479.81411;25992.52081;1303.925681;49042.52;2924;21520.658;928469.313;3958.13;4833.98;2398.42;5703.346;20937.91;9061.76;5348.16;4180.72;12659.15;25018.09;4098.45;7485.29;4546.03;10123;30365.25;9386.15;9688.12;3423.792;3061.947;25403.15;10395.28;19613.28;1866.78
22/05/2017;188.13;61673.49309;10313.85783;25564.88891;1274.330287;48943.46;2919.98;21500.84;929205;3938.16;4802.9;2394.02;5699.404;20894.83;9084.78;5322.88;4160.15;12619.46;24968.471;4102.89;7496.34;4551.79;10134.9;30570.97;9438.25;9760.63;3411.7629;3075.6756;25391.34;10374.32;19678.28;1866.99
21/05/2017;;;;;;;;;;;;;;;;;;;;;;4570.36;10050.7;;;;;;;;;
19/05/2017;187.32;62639.30672;10471.13023;25977.58508;1311.681059;49067.47;2928.8;21614.869;931141.438;3954.13;4793.71;2381.73;5651.564;20804.84;9022.51;5324.4;4160.22;12638.69;25025.631;4087.6;7470.71;;;30464.92;9427.9;9760.08;3403.667;3090.6309;25174.87;10267.39;19590.76;1857.41
18/05/2017;185.68;61597.05628;10296.71915;25537.21846;1273.269191;48322.24;2877.6;21033.959;908735.25;3950.18;4775.07;2365.72;5626.31;20663.02;8938.37;5289.73;4127.95;12590.06;24646.869;4067.86;7436.42;4581.3;10103.35;30434.79;9429.45;9768.46;3397.8158;3090.139;25136.52;10271.35;19553.86;1858.15
17/05/2017;186.63;67540.25331;11284.68862;28000.85234;1407.704092;48747.95;2901.1;21674.238;937198.75;3940.73;4853.49;2357.03;5580.548;20606.93;9001.6;5317.89;4154.86;12631.61;24685.711;4101.2;7503.47;4593.72;10144.89;30658.77;9525.75;9889.81;3410.2541;3104.4415;25293.63;10383.14;19814.88;1874.94
16/05/2017;188.68;68684.49769;11472.60965;28460.31326;1424.575253;49459.62;2944.87;21833.609;944140.813;3981.6;4875.4;2400.67;5724.437;20979.75;9127.61;5406.1;4223;12804.53;25102.49;4113.1;7522.03;4582.07;10125.44;30582.6;9512.25;9883.62;3428.8531;3112.9642;25335.94;10433.69;19919.82;1879.07
15/05/2017;188.09;68474.18744;11435.46258;28358.51215;1406.981801;49678.96;2962.85;21656.6;937402.063;3962.77;4890.96;2402.32;5704.479;20981.94;9108.25;5417.4;4228.25;12807.04;25053.609;4079.22;7454.37;4564.31;10118.13;30322.12;9445.4;9820.95;3399.2008;3090.2289;25371.59;10450.35;19869.85;1873
14/05/2017;;;;;;;;;;;;;;;;;;;;;;4593.29;10061.5;;;;;;;;;
