Day;.TRXFLDGLPU;.BVSP;.IBX50;.IBRX;.SMLL;.MXX;.INMX;.MERV;.IBG;.ADRIAN;.IPSA;.SPX;.NDX;.DJI;.SSMI;.FCHI;.CACT;.GDAXI;.MDAXI;.FTAS;.FTSE;.ADI;.QSI;.BSESN;.NSEI;.BSE100;.CSI300;.SSEC;.HSI;.HSCE;.N225;.N500
12/05/2017;187.21;68221.94061;11390.71104;28268.18302;1406.689473;49426.08;2950.33;21502.408;928103.75;3964.33;4851.94;2390.9;5686.81;20896.61;9123.41;5405.42;4217.04;12770.41;24946.801;4071.15;7435.39;;;30188.15;9400.9;9775.99;3385.3581;3083.5132;25156.34;10282.65;19883.9;1867.35
11/05/2017;187.06;67537.61457;11276.61621;28011.92007;1402.510923;49530.53;2956.88;21426.578;920969.688;3944.01;4820.62;2394.44;5674.218;20919.42;9064.88;5383.42;4198.39;12711.06;24907.391;4050.64;7386.63;4608.28;10110.84;30250.98;9422.4;9809.33;3356.7072;3061.5003;25125.55;10257.63;19961.55;1868.06
10/05/2017;187.3;67349.72798;11244.67068;27923.99229;1398.330787;49930.54;2986.81;21510;924646.5;3948.36;4825.49;2399.63;5681.68;20943.11;9089.8;5400.46;4215.78;12757.46;25132.24;4053.08;7385.24;4581.76;9991.67;30248.17;9407.3;9796.93;3337.378;3052.785;25015.42;10227.42;19900.09;1868.95
09/05/2017;186.93;66277.67223;11067.68239;27487.01832;1380.923847;49939.47;2987.15;21140.158;913104.063;3959.56;4807.72;2396.92;5678.309;20975.78;9113.83;5398.01;4212.99;12749.12;25187.58;4031.36;7342.21;4584.65;9865.78;29933.25;9316.85;9696.79;3352.5324;3080.5269;24889.03;10128.99;19843;1859.88
08/05/2017;187.19;65526.04457;10947.0201;27181.84744;1360.529821;49505.86;2963.15;21076.709;913227.625;3963.13;4823.33;2399.38;5659.069;21012.28;9039.61;5382.95;4201.28;12694.55;25101.369;4009.57;7300.86;4578.22;9851.77;29926.15;9314.05;9682.35;3357.5297;3078.6129;24577.91;9982.42;19895.7;1861.03
07/05/2017;;;;;;;;;;;;;;;;;;;;;;4570.24;9833.58;;;;;;;;;
05/05/2017;187.16;65709.73567;10974.74215;27239.74261;1361.778216;49485.67;2960.69;21169.68;916360;3953.24;4843.77;2399.29;5646.094;21006.94;9016.66;5432.4;4234.07;12716.89;25163.01;4006.84;7297.43;;;29858.8;9285.3;9648.5;3382.1553;3103.0378;24476.35;9926.26;;
04/05/2017;186.33;64862.60531;10830.88597;26888.34731;1347.479883;48998.11;2929.1;20985.52;906121.625;3953.42;4853.4;2389.52;5626.316;20951.47;8980.02;5372.42;4190.27;12647.78;25027.939;3983.98;7248.1;4617.16;9938.28;30126.21;9359.9;9734.53;3404.25;3127.3687;24683.88;10088.02;;
03/05/2017;185.93;66093.78382;11031.46889;27366.93256;1365.57589;49099.98;2934.44;21212.029;915565.438;3956.18;4854.88;2388.13;5625.158;20957.9;8891.89;5301;4135.77;12527.84;24738.381;3978.43;7234.53;4581.26;9955.4;29894.8;9311.95;9683.68;3413.5846;3135.346;;;;
02/05/2017;186.57;66721.74893;11132.20186;27585.74222;1362.578951;49588.84;2964.14;21157.449;913793.188;3960.68;4878.12;2391.17;5644.068;20949.89;8868.56;5304.15;4138.93;12507.9;24822.789;3990.16;7250.05;4552.88;9992.84;29921.18;9313.8;9690.97;3426.5766;3143.7121;24696.13;10173.62;19445.7;1813.67
01/05/2017;185.85;;;;;;;;;;;2388.33;5629.632;20913.46;;;;;;;;4558.09;10110.45;;;;;;;;19310.52;1802.37
30/04/2017;;;;;;;;;;;;;;;;;;;;;;4522.56;10064.35;;;;;;;;;
28/04/2017;185.63;65403.24534;10914.23165;27041.79804;1335.788556;49261.33;2940.08;21019.908;909427.438;3972.12;4795.13;2384.2;5583.53;20940.51;8812.67;5267.33;4106.66;12438.01;24615.789;3962.49;7203.94;;;29918.4;9304.05;9669.96;3439.6709;3154.6584;24615.13;10219.89;19196.74;1789.65
27/04/2017;185.96;64676.5504;10800.32289;26722.76884;1302.990047;49440.96;2948.03;20889.449;902055.125;3969.89;4783.08;2388.77;5571.283;20981.33;8844.78;5271.7;4108.45;12443.79;24669.6;3977.34;7237.17;4512.91;10089.86;30029.74;9342.15;9693.59;3447.5548;3152.1869;24698.48;10261.25;19251.87;1792.78
26/04/2017;186.22;64861.92344;10829.07505;26788.55118;1306.721779;49565.16;2959.41;21027.67;905891.188;3988.46;4852.09;2387.45;5541.086;20975.09;8830.29;5287.88;4116.57;12472.8;24639.689;4001.88;7288.72;4541.04;10205.61;30133.35;9351.85;9707.15;3445.1832;3140.8471;24578.43;10317.63;19289.43;1792
25/04/2017;185.99;65148.34828;10877.91521;26903.49992;1313.799808;49808.05;2974.32;21198.869;909128.313;4041.65;4868.06;2388.61;5548.194;20996.12;8775.24;5277.88;4110.44;12467.04;24615.75;3992.2;7275.64;4564.63;10157.37;29943.24;9306.6;9670.19;3441.4266;3134.5674;24455.94;10272.07;19079.33;1778.53
24/04/2017;184.87;64389.01496;10757.45098;26589.1313;1296.389259;49413.26;2946.07;21169.869;910419.5;4034.67;4849.15;2374.15;5508.033;20763.89;8711.32;5268.85;4101.32;12454.98;24593.029;3987.56;7264.68;4530.81;10153.76;29655.84;9217.95;9569.87;3431.3816;3129.5312;24139.48;10107.63;18875.88;1766.16
23/04/2017;;;;;;;;;;;;;;;;;;;;;;;10197.33;;;;;;;;;
21/04/2017;182.22;;;;;48967.83;2921.62;20768.979;899983.188;3972.26;4809.47;2348.69;5442.049;20547.76;8553.99;5059.2;3944.88;12048.57;23985.01;3912.58;7114.55;;;29365.3;9119.4;9472.75;3466.7865;3173.1512;24042.02;10050.02;18620.75;1747.44
20/04/2017;182.26;63760.61959;10648.70767;26350.91467;1294.537609;49144.96;2933.83;20668.709;893247.375;3975.84;4805.32;2355.84;5443.532;20578.71;8557.87;5077.91;3959.71;12027.32;24036.26;3914.9;7118.54;4521.63;10241.61;29422.39;9136.4;9487.39;3462.0897;3172.1003;24056.98;10056.17;18430.49;1733.67
19/04/2017;181.29;63406.96959;10596.81934;26225.90673;1292.16259;48873.84;2920.21;20513.17;886781.125;;;2338.17;5399.636;20404.49;8532.27;5003.73;3908.2;12016.45;23992.391;3914.5;7114.36;4531.63;10295.96;29336.57;9103.5;9450.53;3446.0816;3170.6867;23825.88;9983.73;18432.2;1735.33
18/04/2017;181.73;64158.84269;10724.88385;26516.1247;1296.181734;48762.53;2911.93;20669.719;893472.625;4004.98;4837.87;2342.19;5391.656;20523.28;8529.28;4990.25;3896.03;12000.44;24038.211;3924.93;7147.5;4494.31;10336.3;29319.1;9105.15;9438.57;3462.6297;3196.7133;23924.54;10043.52;18418.59;1730.37
17/04/2017;182.16;64334.92896;10759.18142;26583.49701;1296.559768;49011.56;2929.65;20748.129;897002.438;4017.29;4860.48;2349.01;5399.196;20636.92;;;;;;;;4544.57;10336.36;29413.66;9139.3;9483.74;3479.8195;3222.1673;;;18355.26;1726
16/04/2017;;;;;;;;;;;;;;;;;;;;;;4489.2;10431.34;;;;;;;;;
14/04/2017;181.03;;;;;;;;;;;;;;;;;;;;;;;;;;3485.807;3246.0668;;;18335.63;1713.1
13/04/2017;181.22;62826.27951;10504.32152;25974.92317;1268.770859;;;;;4021.26;4858.51;2328.95;5353.586;20453.25;8629.02;5071.1;3957.75;12109;24273.359;4012.3;7327.59;4518.14;10451.47;29461.45;9150.8;9496.44;3514.7586;3275.9603;24261.66;10204.34;18426.84;1726.42
12/04/2017;182.23;63891.67716;10684.02724;26382.80822;1274.045178;48955.82;2926.93;20812.17;903548;4019.95;4864.03;2344.93;5377.03;20591.86;8663.77;5101.11;3979.75;12154.7;24282.619;4018.12;7348.99;4555.06;10489.28;29643.48;9203.45;9554.71;3509.4387;3273.8301;24313.5;10208.31;18552.61;1735.44
11/04/2017;182.43;64359.79084;10760.60217;26567.86534;1285.758708;49637.93;2964.76;20994.799;910111.813;4021.11;4876.01;2353.78;5398.399;20651.3;8641.55;5101.86;3978.2;12139.35;24187.551;4020.74;7365.5;4562.99;10411.77;29788.35;9237;9586.49;3516.8918;3288.9657;24088.46;10165.98;18747.87;1752.41
10/04/2017;182.31;64649.8147;10812.92969;26672.91208;1284.567169;49540.26;2955.84;20926.18;907898.563;4036.69;4900.42;2357.16;5421.679;20658.02;8616.68;5107.45;3985.95;12200.52;24197.93;4011.82;7348.94;4571.67;10485.04;29575.74;9181.45;9529.51;3505.6441;3269.3926;24262.18;10253.79;18797.88;1756.96
09/04/2017;;;;;;;;;;;;;;;;;;;;;;4591.41;10509.88;;;;;;;;;
07/04/2017;182.07;64593.10461;10799.53025;26659.48765;1284.871363;49343.64;2940.41;20727.559;901477.25;4030.04;4888.35;2355.54;5418.369;20656.1;8640.91;5135.28;4004.4;12225.06;24202.32;4010.28;7349.37;;;29706.61;9198.3;9535.01;3517.7194;3286.616;24267.3;10273.8;18664.63;1749.09
06/04/2017;182.27;64222.72144;10734.8283;26508.98621;1280.325096;49012.42;2924.13;20812.818;901822.563;4048.47;4897.64;2357.49;5420.88;20662.95;8638.37;5121.44;3992.46;12230.89;24110.529;3986.22;7303.2;4615.23;10456.01;29927.34;9261.95;9597.23;3514.3102;3281.0047;24273.72;10276.41;18597.06;1738.39
05/04/2017;182.52;64774.76465;10822.70385;26738.70146;1289.85651;49207.61;2932.6;20683.02;895250.375;3981.18;4872.82;2352.95;5418.524;20648.15;8640.51;5091.85;3971.84;12217.54;24010.4;3996.54;7331.68;4640.74;10466.99;29974.24;9265.15;9597.51;3503.7766;3270.3054;24400.8;10365.32;18861.27;1766.67
04/04/2017;182.71;65768.91427;10982.88146;27120.54689;1297.927609;49342.77;2942.36;20834.738;901534.625;3954.51;4825.76;2360.16;5440.407;20689.24;8646.99;5101.13;3976.82;12282.34;23969.84;3990.3;7321.82;4548.87;10391.7;;;;;;;;18810.25;1760.53
03/04/2017;182.71;65211.47542;10890.59176;26905.54053;1291.102266;48819.07;2908.48;20561.898;891573.813;3947.51;4791.56;2358.84;5432.2;20650.21;8633.86;5085.91;3966.95;12257.2;23896.6;3970.98;7282.69;4466.64;10344.08;29910.22;9237.85;9558.52;;;24261.48;10314.52;18983.23;1773.13
02/04/2017;;;;;;;;;;;;;;;;;;;;;;4449.66;10397.85;;;;;;;;;
31/03/2017;182.93;64984.06689;10849.13872;26806.42436;1291.480021;48541.56;2890.51;20265.318;879071.375;3972.95;4783.42;2362.72;5436.232;20663.22;8658.89;5122.51;3992.21;12312.87;23904.08;3990;7322.92;;;29620.5;9173.75;9494.36;3456.2971;3222.5142;24111.59;10273.67;18909.26;1759.82
30/03/2017;183.29;65265.98139;10897.60146;26904.67763;1282.513182;48863.3;2907.34;20248.42;873234.313;3964.05;4818.87;2368.06;5439.742;20728.49;8704.39;5089.64;3964.29;12256.43;23795.25;4011.01;7369.52;4443.53;10390.6;29647.42;9173.75;9489.97;3435.42;3210.2369;24301.09;10355.71;19063.22;1773.18
29/03/2017;183.48;65528.28833;10944.62772;27014.59754;1287.242142;49036.52;2914.05;20203.27;870300.063;3954.9;4854.58;2361.13;5430.268;20659.32;8661.53;5069.04;3944.58;12203;23655.58;4011.8;7373.72;4435.85;10416.83;29531.43;9143.8;9455.32;3465.1933;3241.3144;24392.05;10437.51;19217.48;1793.62
28/03/2017;183.18;64640.45082;10789.73856;26657.80118;1272.711494;49339.24;2926.13;20022.42;867139.375;3917.81;4868.88;2358.57;5407.208;20701.5;8597.02;5046.2;3929.22;12149.42;23579.51;3997.19;7343.42;4469.66;10461.81;29409.52;9100.8;9421.01;3470.3399;3252.9479;24345.87;10425.89;19202.87;1792.38
27/03/2017;182.19;64308.38917;10721.46018;26522.1587;1267.338037;49312.99;2929.35;19801.709;857618.063;3894.64;4759.19;2341.59;5374.273;20550.98;8594.54;5017.43;3905.73;11996.07;23357.48;3972.73;7293.5;4465.28;10428.53;29237.15;9045.2;9363.9;3478.0325;3266.9552;24193.7;10362.02;18985.59;1767.88
26/03/2017;;;;;;;;;;;;;;;;;;;;;;4465.19;10412.85;;;;;;;;;
24/03/2017;182.4;63853.77257;10641.70403;26353.03788;1265.495471;49083.85;2918.89;;;3867.94;4760.87;2343.98;5363.995;20596.72;8613.64;5020.9;3909.91;12064.27;23542.84;3995.03;7336.82;;;29421.4;9108;9417.63;3489.5697;3269.4451;24358.27;10477.81;19262.53;1790.31
23/03/2017;182.27;63530.78648;10586.32065;26230.80399;1269.299646;48676.91;2891.01;19705.1;855363.813;3828.96;4727.4;2345.96;5355.143;20656.58;8628.64;5032.76;3914.4;12039.68;23433.67;3997.13;7340.71;4495.28;10445.24;29332.16;9086.3;9393.65;3462.0481;3248.5495;24327.7;10487.45;19085.31;1775.81
22/03/2017;181.97;63521.33445;10584.13843;26209.65903;1264.436351;48487.3;2877.73;19666.59;854093.75;3804;4689.78;2348.45;5367.555;20661.3;8567.88;4994.7;3884.35;11904.12;23172.16;3984.24;7324.72;4481.89;10395.98;29167.68;9030.45;9329.42;3450.2309;3245.2198;24320.41;10456.96;19041.38;1778.19
21/03/2017;182.53;62980.36983;10493.11826;26003.89381;1258.304821;48589.05;2880.31;19535.199;847258.375;3809.68;4671.42;2344.02;5332.533;20668.01;8614.86;5002.43;3894.54;11962.13;23377.289;4013.76;7378.34;4512.82;10485.53;29485.45;9121.5;9425.43;3466.6697;3261.6108;24593.12;10644.15;19455.88;1806.15
20/03/2017;183.75;64884.26748;10808.46105;26748.20428;1281.887771;;;19793.52;858995.813;3806.24;4662.14;2373.47;5413.308;20905.86;8695.04;5012.16;3905.45;12052.9;23613.23;4042.35;7429.81;4457.75;10406.79;29518.74;9126.85;9443.07;3449.2883;3250.8082;24501.99;10583.98;;
19/03/2017;;;;;;;;;;;;;;;;;;;;;;4419.38;10338.55;;;;;;;;;
17/03/2017;183.91;64209.93632;10695.28359;26505.09197;1290.113487;48593.44;2888.08;19434;848631.875;3856.91;4652.4;2378.25;5408.764;20914.62;8698.53;5029.24;3916.82;12095.24;23690.1;4038.38;7424.96;;;29648.99;9160.05;9464.7;3446.2069;3237.4471;24309.93;10513.52;19521.59;1805.92
16/03/2017;183.84;65782.8539;10955.87224;27131.55999;1315.929938;48056.56;2855.09;19601.289;856201.75;3824.46;4616.47;2381.38;5412.08;20934.55;8667.48;5013.38;3904.51;12083.18;23663.57;4031.53;7415.95;4424.93;10361.03;29585.85;9153.7;9456.41;3481.7312;3268.9354;24288.28;10526.46;19590.14;1811.34
15/03/2017;183.17;66234.87486;11030.57894;27298.22528;1319.093072;47470.31;2818.84;19368.389;845467.625;3786.27;4548.86;2385.26;5416.252;20950.1;8688.86;4985.48;3880.87;12009.87;23519.539;4008.36;7368.64;4375.35;10291.86;29398.11;9084.8;9375.43;3463.9191;3241.7597;23792.85;10272.83;19577.38;1807.05
14/03/2017;181.23;64699.46127;10774.58566;26701.29046;1296.666123;47087.97;2800.31;19062.238;833445.5;3748.55;4527.59;2365.45;5382.167;20837.37;8663.54;4974.26;3874.92;11988.79;23427.381;4002.9;7357.85;4387.96;10314.2;29442.63;9087;9365.61;3456.0467;3239.3278;23827.95;10315.23;19609.5;1811.21
13/03/2017;181.88;65534.30037;10912.95287;27029.98138;1304.347125;47101.14;2799.96;19188.25;838853.438;3708.85;4542.4;2373.47;5394.573;20881.48;8683.05;4999.6;3892.89;11990.03;23420.75;4009.7;7367.08;4382.32;10361.43;;;;3457.9641;3237.0244;23829.67;10258.71;19633.75;1811.75
12/03/2017;;;;;;;;;;;;;;;;;;;;;;4436.43;10491.15;;;;;;;;;
10/03/2017;181.51;64675.46289;10771.96608;26675.28847;1288.205183;47102.31;2798.18;18895.908;827167.25;3696.43;4474.88;2372.6;5385.899;20902.98;8669.97;4993.32;3887.66;11963.18;23325.48;3996.61;7343.08;;;28946.23;8934.55;9208.05;3427.7287;3212.7601;23568.67;10069.1;19604.61;1809.67
09/03/2017;180.46;64585.23629;10751.90099;26630.62297;1278.303781;47263.92;2813.01;18785.488;820991.813;3695.16;4467.98;2364.87;5363.982;20858.19;8639.7;4981.51;3878.34;11978.39;23285.119;3981.64;7314.96;4457.3;10467.23;28929.13;8927;9207.59;3426.9324;3216.7457;23501.56;10095.79;19318.58;1786.97
08/03/2017;180.62;64718.01806;10769.26034;26699.44435;1299.996352;47539.22;2828.08;19232.609;838778.188;3709.46;4468.5;2362.98;5359.805;20855.73;8626.65;4960.48;3862.54;11967.31;23234.84;3992.19;7334.61;4590.76;10361.49;28901.94;8924.3;9206.01;3449.4547;3240.6646;23782.27;10280.31;19254.03;1778.32
07/03/2017;181.25;65742.32474;10935.22336;27123.28883;1328.700998;47419.16;2818.64;19248.158;843147.625;3631.41;4476.43;2368.39;5351.281;20924.76;8623.97;4955;3858.16;11966.14;23272.721;3992.39;7338.99;4591.52;10416.89;28999.56;8946.9;9237.04;3454.0386;3242.4063;23681.07;10229.68;19344.15;1784.15
06/03/2017;181.6;66341.36621;11035.11258;27358.89721;1324.754814;47883.59;2849.45;19197.34;841343.125;3606.07;4467.32;2375.31;5360.313;20954.34;8664.8;4972.19;3871.02;11958.4;23381.859;3996.87;7350.12;4604.27;10622.54;29048.19;8963.45;9251.14;3446.6773;3233.8657;23596.28;10171.1;19379.14;1783.98
05/03/2017;;;;;;;;;;;;;;;;;;;;;;4565.15;;;;;;;;;;
03/03/2017;182.19;66785.53152;11108.92247;27506.61197;1317.407346;47414.57;2820.16;19265.449;844162.563;3616.19;4429.79;2383.12;5373.478;21005.71;8670.06;4995.13;3887.29;12027.36;23437.25;4007.47;7374.26;;;28832.45;8897.55;9187.65;3428.0527;3218.3118;23552.72;10144.47;19469.17;1786.13
02/03/2017;181.89;65854.93158;10954.65937;27143.26996;1313.830937;47288.66;2813.16;18966.51;828750.313;3630.24;4420.11;2381.92;5363.259;21002.97;8661.63;4963.8;3866.83;12059.57;23580.301;4013.29;7382.35;4596.39;10721.15;28839.79;8899.75;9180.45;3435.6792;3230.0281;23728.07;10246.89;19564.8;1795.24
01/03/2017;182.8;66988.87534;11138.38463;27589.98834;1330.331139;47454.15;2822.22;19358.969;845321.813;3559.95;4399.95;2395.96;5390.989;21115.55;8634.7;4960.83;3864.87;12067.19;23603.91;4014.72;7382.9;4569.53;10752.1;28984.49;8945.8;9251.54;3458.3113;3246.9335;23776.49;10287.98;19393.54;1782.09
28/02/2017;181.06;;;;;46856.79;2785.9;;;3515.48;4359.88;2363.64;5330.305;20812.24;8545.81;4858.58;3793.21;11834.41;23365.52;3953.42;7263.44;4552.09;10702.12;28743.32;8879.6;9190.73;3453.6347;3241.7331;23740.73;10297.96;19118.99;1762.52
27/02/2017;181.41;;;;;47349.2;2816.6;;;3505.23;4346.44;2369.75;5347.549;20837.44;8520.56;4845.18;3782.1;11822.67;23362.631;3946.27;7253;4628.56;10938.8;28812.88;8896.7;9200.98;3446.9047;3228.6602;23925.05;10330.85;19107.47;1761.32
26/02/2017;;;;;;;;;;;;;;;;;;;;;;4656.73;10937.07;;;;;;;;;
24/02/2017;181.58;66662.10494;11089.74836;27452.89075;1310.521526;47047.67;2799.72;19117.449;835707.875;3504.72;4343.67;2367.34;5343.314;20821.76;8525.62;4845.24;3779.14;11804.03;23345.109;3939.17;7243.7;;;;;;3473.779;3253.4327;23965.7;10418.66;19283.54;1772.24
23/02/2017;182.15;67461.39051;11227.47071;27769.25472;1317.772186;47206.36;2805.61;19538.09;853054.625;3529.84;4359.13;2363.81;5332.373;20810.32;8569.36;4891.29;3815.48;11947.83;23593.26;3953.6;7271.37;4653.39;10925.4;28892.97;8939.5;9239.67;3473.3134;3251.375;24114.86;10521.53;19371.46;1777.4
22/02/2017;182.11;68589.5444;11416.14988;28199.48078;1327.563537;47195.68;2801.81;19915.25;865165.063;3520.6;4375.7;2362.82;5352.134;20775.6;8585.85;4895.88;3819.15;11998.59;23612.891;3968.62;7302.25;4637.52;10952.66;28864.71;8926.9;9235.46;3489.946;3261.2184;24201.96;10537.58;19379.87;1774.57
21/02/2017;181.99;69052.02642;11488.4298;28396.94978;1347.378327;47614.99;2828.83;20072.92;870901.625;3516.83;4373.39;2365.38;5350.725;20743;8567.18;4888.76;3814.42;11967.49;23636.391;3960.17;7274.83;4607.69;10933.69;28761.59;8907.85;9229.14;3483.1102;3253.3257;23963.63;10408.56;19381.44;1776.65
20/02/2017;181.37;68532.85548;11397.36138;28177.85728;1334.512627;47083.81;2794.19;20038.389;867392.25;3525.4;4355.65;;;;8514.52;4864.99;3797.38;11827.62;23453.99;3970.1;7299.86;4580.22;10912.76;28661.58;8879.2;9187.23;3472.3676;3239.9613;24146.08;10445.48;19251.08;1767.09
19/02/2017;;;;;;;;;;;;;;;;;;;;;;4620.81;10916.99;;;;;;;;;
17/02/2017;181.18;67748.41941;11272.53784;27869.44621;1320.1438;47164.71;2799.09;19681.34;855647.75;3525.32;4349.97;2351.16;5324.721;20624.05;8506.49;4867.58;3796.61;11757.02;23300.051;3968.78;7299.96;;;28468.75;8821.7;9124.02;3421.7364;3202.0756;24033.74;10360.13;19234.62;1766.64
16/02/2017;181.39;67814.2423;11283.31479;27894.78811;1315.67503;47293.85;2803.48;19563.209;852772.125;3550.67;4363.72;2347.22;5300.639;20619.77;8467.52;4899.46;3819.68;11757.24;23297.52;3959.2;7277.92;4643.21;10819.3;28301.27;8778;9073.18;3440.8594;3229.6184;24107.7;10455.02;19347.53;1771.16
15/02/2017;181.26;67975.582;11308.29011;27946.14086;1311.641229;47161.74;2797.54;19657.068;857524.125;3541.94;4354.65;2349.25;5302.393;20611.86;8486.27;4924.86;3834.94;11793.93;23319.109;3974.24;7302.41;4596.69;10731.53;28155.56;8724.7;8998.05;3421.9156;3212.9857;23994.87;10436.04;19437.98;1775.79
14/02/2017;180.19;66712.8807;11098.37931;27438.46227;1293.744697;47391.24;2812.65;19606.379;854502.938;3551.07;4343;2337.58;5271.072;20504.41;8426.15;4895.82;3814.78;11771.81;23285.689;3957.59;7268.56;4572.57;;28339.31;8792.3;9085.37;3435.7654;3217.928;23703.01;10254.44;19238.98;1762.33
