date,price
2005-06-30,147.222229
2005-07-01,145.770767
2005-07-05,148.003006
2005-07-06,145.905899
2005-07-07,147.917923
2005-07-08,148.26326
2005-07-11,146.821823
2005-07-12,146.03604099999998
2005-07-13,149.579575
2005-07-14,150.595596
2005-07-15,150.745743
2005-07-18,149.91992199999999
2005-07-19,155.105103
2005-07-20,156.156158
2005-07-21,157.127121
2005-07-22,151.351349
2005-07-25,148.073074
2005-07-26,148.19319199999998
2005-07-27,148.613617
2005-07-28,146.896896
2005-07-29,144.024017
2005-08-01,145.950958
2005-08-02,149.744751
2005-08-03,148.798798
2005-08-04,149.01400800000002
2005-08-05,146.32132
2005-08-08,145.770767
2005-08-09,145.930923
2005-08-10,142.982986
2005-08-11,142.16716
2005-08-12,145.005005
2005-08-15,142.14213600000002
2005-08-16,142.967972
2005-08-17,142.69268799999998
2005-08-18,140.135132
2005-08-19,140.140137
2005-08-22,137.14213600000002
2005-08-23,139.929932
2005-08-24,141.426422
2005-08-25,141.436432
2005-08-26,141.931931
2005-08-29,144.36937
2005-08-30,143.77877800000002
2005-08-31,143.14314299999998
2005-09-01,143.26826499999999
2005-09-02,144.36937
2005-09-06,143.6987
2005-09-07,147.582581
2005-09-08,147.84285
2005-09-09,149.694702
2005-09-12,155.025024
2005-09-13,155.996002
2005-09-14,151.651657
2005-09-15,151.461456
2005-09-16,150.25024399999998
2005-09-19,152.047043
2005-09-20,154.109116
2005-09-21,156.10611
2005-09-22,155.84083600000002
2005-09-23,157.837845
2005-09-26,157.297302
2005-09-27,157.127121
2005-09-28,153.153152
2005-09-29,154.964966
2005-09-30,158.388382
2005-10-03,159.499496
2005-10-04,155.655655
2005-10-05,155.51051299999997
2005-10-06,156.531525
2005-10-07,156.651657
2005-10-10,155.48048400000002
2005-10-11,153.203201
2005-10-12,150.635635
2005-10-13,148.868866
2005-10-14,148.21821599999998
2005-10-17,152.652649
2005-10-18,151.79179399999998
2005-10-19,154.504501
2005-10-20,151.751755
2005-10-21,170.120117
2005-10-24,174.499496
2005-10-25,173.628632
2005-10-26,177.897903
2005-10-27,176.706711
2005-10-28,179.264267
2005-10-31,186.256256
2005-11-01,189.879883
2005-11-02,190.030029
2005-11-03,193.16816699999998
2005-11-04,195.410416
2005-11-07,197.71270800000002
2005-11-08,195.145142
2005-11-09,189.764771
2005-11-10,195.745743
2005-11-11,195.395401
2005-11-14,198.683685
2005-11-15,196.59660300000002
2005-11-16,199.274277
2005-11-17,201.926926
2005-11-18,200.305298
2005-11-21,204.884888
2005-11-22,208.443451
2005-11-23,211.64164700000003
2005-11-25,214.524521
