date,price
1981-10-15,0.014972
1981-10-16,0.014769999999999998
1981-10-19,0.015073
1981-10-20,0.015883
1981-10-21,0.015883
1981-10-22,0.015782
1981-10-23,0.015377000000000002
1981-10-26,0.015377000000000002
1981-10-27,0.01568
1981-10-28,0.016186000000000002
1981-10-29,0.015984
1981-10-30,0.016186000000000002
1981-11-02,0.016186000000000002
1981-11-03,0.015984
1981-11-04,0.015578999999999999
1981-11-05,0.014466
1981-11-06,0.014568000000000001
1981-11-09,0.014769999999999998
1981-11-10,0.014871
1981-11-11,0.015276
1981-11-12,0.015782
1981-11-13,0.014669
1981-11-16,0.014466
1981-11-17,0.014769999999999998
1981-11-18,0.015276
1981-11-19,0.015276
1981-11-20,0.015377000000000002
1981-11-23,0.014669
1981-11-24,0.014568000000000001
1981-11-25,0.014871
1981-11-27,0.015276
1981-11-30,0.015073
1981-12-01,0.015073
1981-12-02,0.015175
1981-12-03,0.014972
1981-12-04,0.015377000000000002
1981-12-07,0.015478
1981-12-08,0.015175
1981-12-09,0.015276
1981-12-10,0.015276
1981-12-11,0.015175
1981-12-14,0.014669
1981-12-15,0.015073
1981-12-16,0.015782
1981-12-17,0.017097
1981-12-18,0.018512999999999998
1981-12-21,0.017703999999999998
1981-12-22,0.018007
1981-12-23,0.017602
1981-12-24,0.017703999999999998
1981-12-28,0.016894
1981-12-29,0.017197999999999998
1981-12-30,0.017906000000000002
1981-12-31,0.017906000000000002
1982-01-04,0.017805
1982-01-05,0.016894
1982-01-06,0.016692
1982-01-07,0.015377000000000002
1982-01-08,0.016085
1982-01-11,0.015073
1982-01-12,0.014568000000000001
1982-01-13,0.014466
1982-01-14,0.015175
1982-01-15,0.016186000000000002
1982-01-18,0.01649
1982-01-19,0.016085
1982-01-20,0.016388999999999997
1982-01-21,0.016692
1982-01-22,0.016793000000000002
1982-01-25,0.016287
1982-01-26,0.01568
1982-01-27,0.015782
1982-01-28,0.016287
1982-01-29,0.01649
1982-02-01,0.016287
1982-02-02,0.016388999999999997
1982-02-03,0.016388999999999997
1982-02-04,0.015984
1982-02-05,0.015984
1982-02-08,0.014972
1982-02-09,0.014972
1982-02-10,0.015175
1982-02-11,0.014972
1982-02-12,0.015175
1982-02-16,0.014871
1982-02-17,0.015073
1982-02-18,0.015276
1982-02-19,0.015175
1982-02-22,0.014972
1982-02-23,0.014769999999999998
1982-02-24,0.014871
1982-02-25,0.014769999999999998
1982-02-26,0.014769999999999998
1982-03-01,0.014871
1982-03-02,0.014871
1982-03-03,0.014871
1982-03-04,0.014568000000000001
1982-03-05,0.013455000000000002
1982-03-08,0.013252000000000002
1982-03-09,0.013354
1982-03-10,0.013151
1982-03-11,0.013151
1982-03-12,0.012342
1982-03-15,0.012241
1982-03-16,0.012038
1982-03-17,0.011432
1982-03-18,0.012342
1982-03-19,0.013455000000000002
